Constituency,Seats,Electorate,Party,Candidates,Votes,%
Potong Pasir SMC,1,"19,263",Singapore Democratic Party,Chiam See Tong,"12,582",69.64
,,,People's Action Party,Andy Gan Lai Chiang,"5,486",30.36
Sembawang GRC,4,"117,951",People's Action Party,Ho Peng Kee,Uncontested,
,,,,K. Shanmugam,,
,,,,Lee Yiok Seng,,
,,,,Tony Tan,,
Tampines GRC,4,"69,801",People's Action Party,Chng Hee Kok,"38,844",59.48
,,,,Mah Bow Tan,,
,,,,Aline Wong,,
,,,,Yatiman Yusof,,
,,,National Solidarity Party,Ong Seng Kwe,"26,457",40.52
,,,,Rasiah Thiagarajah,,
,,,,Sarry B Hassan,,
,,,,Ken Sunn,,
Tanglin SMC,1,"16,801",People's Action Party,Lew Syn Pau,"9,113",68.52
,,,Singapore Democratic Party,Jimmy Tan Tiang Hoe,"4,022",30.25
,,,Independent,Gnaguru Thamboo Mylvaganam,163,1.23
Tanjong Pagar GRC,4,"86,944",People's Action Party,Koo Tsai Kee,Uncontested,
,,,,Lee Kuan Yew,,
,,,,Lim Hng Kiang,,
,,,,S Vasoo,,
Thomson GRC,4,"68,294",People's Action Party,Wong Kan Seng,Uncontested,
,,,,Ibrahim Othman,,
,,,,Lau Teik Soon,,
,,,,Leong Horn Kee,,
Toa Payoh GRC,4,"63,591",People's Action Party,Ong Teng Cheong,Uncontested,
,,,,S. Dhanabalan,,
,,,,Davinder Singh,,
,,,,Ho Tat Kin,,
Ulu Pandan SMC,1,"22,299",People's Action Party,Lim Boon Heng,"11,426",56.41
,,,Singapore Democratic Party,Ashleigh Seow,"8,828",43.59
Yuhua SMC,1,"18,797",People's Action Party,Yu-Foo Yee Shoon,"9,945",56.16
,,,Singapore Democratic Party,Toh Kim Kiat,"7,762",43.84
