Qtr,GDP,GDP.Qtr,GDP.Qtr.Lag,GDP.4Qtr
1991.4,26456.1,0.807416496,1.646061845,3.922207906
1991.3,26244.2,1.646061845,1.42040098,5.552695507
1991.2,25819.2,1.42040098,2.389034573,5.502911431
1991.1,25457.6,2.389034573,1.598120339,5.194086097
1990.4,24863.6,1.598120339,1.123525863,3.814613779
1990.3,24472.5,1.123525863,1.046346555,6.396622785
1990.2,24200.6,1.046346555,4.125002174,7.613224537
1990.1,23950,4.125002174,2.279831914,7.728084419
1989.4,23001.2,2.279831914,1.154197347,9.371195983
1989.3,22488.5,1.154197347,5.713158095,7.076367826
1989.2,22231.9,5.713158095,0.13379487,8.622088024
1989.1,21030.4,0.13379487,2.614426986,5.489566613
1988.4,21002.3,2.614426986,2.664526485,9.609051672
1988.3,20467.2,2.664526485,4.044131078,8.01830282
1988.2,19936,4.044131078,1.125190654,8.27015402
1988.1,19161.1,1.125190654,2.903895032,7.680506227
1987.4,18947.9,2.903895032,3.477498539,9.869012345
1987.3,18413.2,3.477498539,3.180466082,9.383613725
1987.2,17794.4,3.180466082,2.44926813,8.416499117
1987.1,17245.9,2.44926813,2.562602815,6.744779094
1986.4,16833.6,2.562602815,1.589482675,5.542458745
1986.3,16413,1.589482675,1.29533029,3.898816871
1986.2,16156.2,1.29533029,0.965367061,1.180508151
1986.1,15949.6,0.965367061,-1.068406846,-1.231693346
1985.4,15797.1,-1.068406846,-1.119608632,-4.855088176
1985.3,15967.7,-1.119608632,-2.738628698,-2.713686019
1985.2,16148.5,-2.738628698,1.158221177,-1.26140338
1985.1,16603.2,1.158221177,0.356470272,2.720326662
1984.4,16413.1,0.356470272,1.183530795,2.751414834
1984.3,16354.8,1.183530795,1.18883658,5.622505522
1984.2,16163.5,1.18883658,3.16064117,7.52870581
1984.1,15973.6,3.16064117,3.009619606,8.468407293
1983.4,15484.2,3.009619606,2.073133467,7.392688458
1983.3,15031.8,2.073133467,2.137561294,6.972672929
1983.2,14726.5,2.137561294,2.606746371,6.343876372
1983.1,14418.3,2.606746371,1.473136915,5.677345588
1982.4,14052,1.473136915,1.497394402,4.632201282
1982.3,13848,1.497394402,1.591970156,4.439902559
1982.2,13643.7,1.591970156,1.286644091,4.938622939
1982.1,13429.9,1.286644091,1.982063746,5.551101889
1981.4,13259.3,1.982063746,2.184916219,7.469787724
1981.3,13001.6,2.184916219,3.127811505,8.500375532
1981.2,12723.6,3.127811505,2.960026704,8.873410573
1981.1,12337.7,2.960026704,2.536238085,7.917778264
1980.4,11983,2.536238085,2.222610977,6.934739735
1980.3,11686.6,2.222610977,2.022149046,5.98840953
1980.2,11432.5,2.022149046,1.628832881,8.10772475
1980.1,11205.9,1.628832881,4.26662632,7.907787418
1979.4,11026.3,4.26662632,1.833466542,9.678414053
1979.3,10575.1,1.833466542,3.296430028,5.452569229
1979.2,10384.7,3.296430028,0.249294497,6.374457101
1979.1,10053.3,0.249294497,2.72371548,6.992113917
1978.4,10028.3,2.72371548,3.896214467,9.276452
1978.3,9762.4,3.896214467,2.389669827,7.235519624
1978.2,9396.3,2.389669827,0.80516713,4.942035784
1978.1,9177,0.80516713,1.674149523,3.536977492
1977.4,9103.7,1.674149523,1.018784904,4.83906259
1977.3,8953.8,1.018784904,2.072896873,5.384696868
1977.2,8863.5,2.072896873,2.20331203,5.414952071
1977.1,8683.5,2.20331203,1.047786684,5.291557032
1976.4,8496.3,1.047786684,1.953413927,3.997698814
1976.3,8408.2,1.953413927,0.947403209,5.788804872
1976.2,8247.1,0.947403209,2.788087719,5.238241074
1976.1,8169.7,2.788087719,1.422810913,6.355529519
1975.4,7948.1,1.422810913,2.019136887,5.328650941
1975.3,7836.6,2.019136887,1.795653326,NA
1975.2,7681.5,1.795653326,NA,NA
1975.1,7546,NA,NA,NA
